epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,6314.2,0.44456,0.29824,0.84365,0.98075,0.99902,0.99327,0.90542,0.43254,0.24021,0.82298,0.0011486,0.0011486,0.0011486
45,6374.7,0.42415,0.27999,0.83765,0.97784,1,0.99404,0.90043,0.4695,0.25735,0.82742,0.0011288,0.0011288,0.0011288
46,6435.04,0.42885,0.30367,0.84324,0.98036,0.9789,0.99366,0.91306,0.45338,0.25602,0.8315,0.001109,0.001109,0.001109
47,6495.54,0.44541,0.29483,0.84784,0.97988,1,0.99442,0.92298,0.41201,0.23697,0.8151,0.0010892,0.0010892,0.0010892
48,6556.12,0.44627,0.30198,0.84507,0.97958,1,0.99019,0.92008,0.41423,0.22467,0.8156,0.0010694,0.0010694,0.0010694
49,6619.46,0.44341,0.29531,0.84834,0.97968,1,0.98596,0.92453,0.41741,0.23149,0.81549,0.0010496,0.0010496,0.0010496
50,6683.13,0.42775,0.28783,0.84366,0.97263,1,0.99096,0.92301,0.42416,0.23011,0.81959,0.0010298,0.0010298,0.0010298
51,6747.04,0.44116,0.29392,0.83078,0.9797,1,0.98231,0.90228,0.43106,0.2343,0.82081,0.00101,0.00101,0.00101
52,6810.58,0.43025,0.27546,0.84366,0.97957,1,0.98385,0.90312,0.44184,0.24773,0.8244,0.0009902,0.0009902,0.0009902
53,6874.49,0.42133,0.27467,0.84723,0.97973,1,0.98269,0.91308,0.41209,0.22739,0.81585,0.0009704,0.0009704,0.0009704
54,6937.59,0.43889,0.28771,0.8446,0.97925,1,0.98558,0.91005,0.45556,0.24235,0.82149,0.0009506,0.0009506,0.0009506
55,7001.89,0.40608,0.27462,0.83396,0.97972,1,0.98038,0.91683,0.39756,0.23218,0.80966,0.0009308,0.0009308,0.0009308
56,7064.41,0.42197,0.28012,0.82672,0.97789,1,0.99404,0.91968,0.40939,0.22472,0.81372,0.000911,0.000911,0.000911
57,7127.86,0.43382,0.28842,0.83748,0.98075,0.99881,0.9925,0.9158,0.42137,0.2512,0.82181,0.0008912,0.0008912,0.0008912
58,7191.03,0.40866,0.26725,0.8291,0.97756,1,0.99212,0.91443,0.43407,0.22425,0.82392,0.0008714,0.0008714,0.0008714
59,7254.97,0.40396,0.26972,0.82491,0.97946,1,0.98596,0.92045,0.42646,0.24145,0.82187,0.0008516,0.0008516,0.0008516
60,7318.63,0.41414,0.28206,0.83366,0.97779,1,0.99173,0.92371,0.40239,0.2131,0.81501,0.0008318,0.0008318,0.0008318
61,7382.02,0.3902,0.26744,0.8384,0.97974,1,0.99327,0.92237,0.41327,0.2181,0.8187,0.000812,0.000812,0.000812
62,7445.41,0.40179,0.26358,0.84134,0.97947,1,0.99481,0.93039,0.38483,0.20682,0.80855,0.0007922,0.0007922,0.0007922
63,7508.72,0.39565,0.26018,0.83373,0.9795,1,0.98385,0.90843,0.3945,0.23143,0.80952,0.0007724,0.0007724,0.0007724
64,7568.86,0.39869,0.2729,0.83408,0.9802,1,0.99173,0.91928,0.40099,0.21759,0.81438,0.0007526,0.0007526,0.0007526
65,7629.04,0.40385,0.26047,0.8363,0.97966,1,0.99212,0.92281,0.43531,0.21293,0.82321,0.0007328,0.0007328,0.0007328
66,7689.36,0.39809,0.25591,0.83605,0.97978,1,0.98558,0.9112,0.3974,0.20828,0.81569,0.000713,0.000713,0.000713
67,7750.08,0.39288,0.25363,0.82989,0.97959,1,0.98865,0.91854,0.40602,0.22857,0.81596,0.0006932,0.0006932,0.0006932
68,7813.71,0.41381,0.25891,0.8373,0.97955,1,0.98596,0.90533,0.42167,0.22867,0.81502,0.0006734,0.0006734,0.0006734
69,7877.03,0.38604,0.25249,0.83428,0.97847,1,0.98788,0.92014,0.42774,0.23954,0.82209,0.0006536,0.0006536,0.0006536
70,7941.12,0.38554,0.24166,0.83294,0.9797,1,0.99327,0.93201,0.39871,0.21149,0.81164,0.0006338,0.0006338,0.0006338
71,8004.08,0.38639,0.25588,0.83728,0.97815,1,0.99442,0.92737,0.40926,0.21188,0.8148,0.000614,0.000614,0.000614
72,8067.14,0.38043,0.23458,0.82185,0.97655,1,0.99481,0.92644,0.42199,0.2179,0.81953,0.0005942,0.0005942,0.0005942
73,8130.82,0.38966,0.23983,0.83259,0.97977,1,0.99096,0.92432,0.43468,0.22608,0.82144,0.0005744,0.0005744,0.0005744
74,8195.11,0.37766,0.2293,0.82891,0.97978,1,0.98981,0.92524,0.3906,0.20594,0.81262,0.0005546,0.0005546,0.0005546
75,8258.32,0.37815,0.23863,0.8348,0.9797,1,0.99365,0.93196,0.4095,0.20136,0.81712,0.0005348,0.0005348,0.0005348
76,8321.62,0.38054,0.23561,0.82912,0.97918,1,0.99442,0.93327,0.40404,0.1997,0.8177,0.000515,0.000515,0.000515
77,8383.89,0.38322,0.2339,0.83171,0.97964,1,0.99288,0.9175,0.42367,0.20237,0.82339,0.0004952,0.0004952,0.0004952
78,8446.62,0.35727,0.22419,0.83062,0.97975,1,0.99327,0.91389,0.41482,0.21774,0.82242,0.0004754,0.0004754,0.0004754
79,8509.01,0.36893,0.23897,0.82508,0.97977,1,0.99442,0.91783,0.41386,0.20874,0.81995,0.0004556,0.0004556,0.0004556
80,8570.94,0.37739,0.23038,0.82803,0.97911,1,0.99019,0.92208,0.42806,0.21642,0.82593,0.0004358,0.0004358,0.0004358
81,8633.46,0.35925,0.22831,0.83076,0.97969,1,0.98827,0.9189,0.40238,0.19821,0.81958,0.000416,0.000416,0.000416
82,8696.95,0.35911,0.22064,0.8357,0.97977,1,0.98385,0.90874,0.41783,0.19985,0.8194,0.0003962,0.0003962,0.0003962
83,8759.08,0.37186,0.23255,0.83144,0.97977,1,0.99096,0.9195,0.4037,0.19702,0.81543,0.0003764,0.0003764,0.0003764
84,8821.98,0.3509,0.22251,0.83017,0.97961,1,0.99327,0.92606,0.37773,0.19661,0.81297,0.0003566,0.0003566,0.0003566
85,8884.53,0.36289,0.22726,0.82341,0.97958,1,0.99404,0.91994,0.41906,0.20187,0.81818,0.0003368,0.0003368,0.0003368
86,8947.58,0.34359,0.2202,0.81875,0.97969,1,0.9925,0.92638,0.39203,0.19793,0.81185,0.000317,0.000317,0.000317
87,9009.62,0.34812,0.2189,0.8308,0.9797,1,0.99327,0.93046,0.42099,0.19401,0.8181,0.0002972,0.0002972,0.0002972
88,9072.05,0.34603,0.21842,0.82407,0.97956,1,0.99288,0.91923,0.40467,0.1897,0.81657,0.0002774,0.0002774,0.0002774
